analysis_area_id	month	year	monthly_factor
6	1	2013	0.53
6	2	2013	0.28
6	3	2013	0.72
6	4	2013	1.27
6	5	2013	1.34
6	6	2013	1.46
6	7	2013	1.50
6	8	2013	1.47
6	9	2013	1.35
6	10	2013	0.87
6	11	2013	0.70
6	12	2013	0.52
6	1	2014	0.34
6	2	2014	0.48
6	3	2014	0.61
6	4	2014	1.14
6	5	2014	1.53
6	6	2014	1.54
6	7	2014	1.49
6	8	2014	1.45
6	9	2014	1.27
6	10	2014	0.90
6	11	2014	0.67
6	12	2014	0.51
6	1	2015	0.36
6	2	2015	0.42
6	3	2015	0.67
6	4	2015	1.20
6	5	2015	1.43
6	6	2015	1.33
6	7	2015	1.50
6	8	2015	1.50
6	9	2015	1.21
6	10	2015	0.87
6	11	2015	0.78
6	12	2015	0.67
6	1	2016	0.43
6	2	2016	0.50
6	3	2016	0.89
6	4	2016	1.06
6	5	2016	1.08
6	6	2016	1.46
6	7	2016	1.35
6	8	2016	1.36
6	9	2016	1.38
6	10	2016	1.15
6	11	2016	0.95
6	12	2016	0.50
7	1	2013	0.45
7	2	2013	0.41
7	3	2013	0.55
7	4	2013	1.24
7	5	2013	1.34
7	6	2013	1.43
7	7	2013	1.45
7	8	2013	1.49
7	9	2013	1.53
7	10	2013	1.01
7	11	2013	0.74
7	12	2013	0.38
7	1	2014	0.22
7	2	2014	0.32
7	3	2014	0.45
7	4	2014	1.15
7	5	2014	1.56
7	6	2014	1.63
7	7	2014	1.63
7	8	2014	1.53
7	9	2014	1.45
7	10	2014	1.02
7	11	2014	0.59
7	12	2014	0.39
7	1	2015	0.23
7	2	2015	0.23
7	3	2015	0.50
7	4	2015	1.18
7	5	2015	1.58
7	6	2015	1.41
7	7	2015	1.48
7	8	2015	1.58
7	9	2015	1.38
7	10	2015	0.97
7	11	2015	0.76
7	12	2015	0.62
7	1	2016	0.29
7	2	2016	0.42
7	3	2016	0.83
7	4	2016	1.00
7	5	2016	1.12
7	6	2016	1.65
7	7	2016	1.45
7	8	2016	1.47
7	9	2016	1.38
7	10	2016	1.15
7	11	2016	0.88
7	12	2016	0.43
8	1	2013	0.69
8	2	2013	0.71
8	3	2013	0.86
8	4	2013	1.25
8	5	2013	1.16
8	6	2013	1.17
8	7	2013	1.17
8	8	2013	1.29
8	9	2013	1.37
8	10	2013	1.09
8	11	2013	0.85
8	12	2013	0.36
8	1	2014	0.29
8	2	2014	0.36
8	3	2014	0.68
8	4	2014	1.40
8	5	2014	1.60
8	6	2014	1.52
8	7	2014	1.47
8	8	2014	1.46
8	9	2014	0.98
8	10	2014	0.85
8	11	2014	0.76
8	12	2014	0.49
8	1	2015	0.57
8	2	2015	0.52
8	3	2015	0.93
8	4	2015	1.22
8	5	2015	1.27
8	6	2015	1.15
8	7	2015	1.03
8	8	2015	1.25
8	9	2015	1.24
8	10	2015	1.09
8	11	2015	0.88
8	12	2015	0.75
8	1	2016	0.57
8	2	2016	0.72
8	3	2016	1.13
8	4	2016	1.08
8	5	2016	1.11
8	6	2016	1.29
8	7	2016	1.12
8	8	2016	1.13
8	9	2016	1.15
8	10	2016	1.12
8	11	2016	0.95
8	12	2016	0.61
9	1	2016	0.34
9	2	2016	0.44
9	3	2016	0.88
9	4	2016	1.06
9	5	2016	1.13
9	6	2016	1.57
9	7	2016	1.43
9	8	2016	1.44
9	9	2016	1.33
9	10	2016	1.11
9	11	2016	0.89
9	12	2016	0.46
10	1	2016	0.70
10	2	2016	0.76
10	3	2016	1.26
10	4	2016	1.19
10	5	2016	1.09
10	6	2016	1.44
10	7	2016	1.25
10	8	2016	0.79
10	9	2016	1.03
10	10	2016	1.06
10	11	2016	0.92
10	12	2016	0.57
11	1	2014	0.28
11	2	2014	0.34
11	3	2014	0.47
11	4	2014	1.03
11	5	2014	1.57
11	6	2014	1.65
11	7	2014	1.50
11	8	2014	1.51
11	9	2014	1.53
11	10	2014	1.06
11	11	2014	0.66
11	12	2014	0.49
12	1	2013	0.54
12	2	2013	0.52
12	3	2013	0.61
12	4	2013	1.12
12	5	2013	1.19
12	6	2013	1.28
12	7	2013	1.31
12	8	2013	1.44
12	9	2013	1.54
12	10	2013	1.20
12	11	2013	0.95
12	12	2013	0.56
12	1	2014	0.39
12	2	2014	0.52
12	3	2014	0.60
12	4	2014	1.27
12	5	2014	1.66
12	6	2014	1.82
12	7	2014	1.75
12	8	2014	1.74
12	9	2014	0.96
12	10	2014	0.64
12	11	2014	0.44
12	12	2014	0.28
12	1	2015	0.36
12	2	2015	0.30
12	3	2015	0.53
12	4	2015	1.10
12	5	2015	1.52
12	6	2015	1.36
12	7	2015	1.42
12	8	2015	1.55
12	9	2015	1.45
12	10	2015	1.06
12	11	2015	0.87
12	12	2015	0.63
13	1	2012	0.44
13	2	2012	0.50
13	3	2012	0.99
13	4	2012	1.17
13	5	2012	1.33
13	6	2012	1.49
13	7	2012	1.27
13	8	2012	1.33
13	9	2012	1.40
13	10	2012	0.92
13	11	2012	0.64
13	12	2012	0.49
13	1	2013	0.43
13	2	2013	0.37
13	3	2013	0.57
13	4	2013	1.33
13	5	2013	1.31
13	6	2013	1.40
13	7	2013	1.46
13	8	2013	1.55
13	9	2013	1.49
13	10	2013	1.00
13	11	2013	0.73
13	12	2013	0.37
13	1	2014	0.22
13	2	2014	0.36
13	3	2014	0.47
13	4	2014	1.18
13	5	2014	1.44
13	6	2014	1.54
13	7	2014	1.65
13	8	2014	1.60
13	9	2014	1.48
13	10	2014	1.04
13	11	2014	0.71
13	12	2014	0.37
13	1	2016	0.26
13	2	2016	0.25
13	3	2016	0.93
13	4	2016	1.03
13	5	2016	1.11
13	6	2016	1.61
13	7	2016	1.59
13	8	2016	1.48
13	9	2016	1.38
13	10	2016	1.16
13	11	2016	0.91
13	12	2016	0.43
14	1	2012	0.74
14	2	2012	0.91
14	3	2012	1.27
14	4	2012	1.26
14	5	2012	1.23
14	6	2012	1.15
14	7	2012	0.91
14	8	2012	1.05
14	9	2012	1.17
14	10	2012	1.02
14	11	2012	0.66
14	12	2012	0.59
14	1	2013	0.72
14	2	2013	0.78
14	3	2013	0.94
14	4	2013	1.33
14	5	2013	1.17
14	6	2013	1.08
14	7	2013	0.86
14	8	2013	1.24
14	9	2013	1.44
14	10	2013	1.10
14	11	2013	0.81
14	12	2013	0.55
14	1	2014	0.57
14	2	2014	0.83
14	3	2014	1.03
14	4	2014	1.27
14	5	2014	1.04
14	6	2014	0.67
14	7	2014	1.05
14	8	2014	1.17
14	9	2014	1.55
14	10	2014	1.30
14	11	2014	0.89
14	12	2014	0.64
14	1	2016	0.32
14	2	2016	0.38
14	3	2016	1.37
14	4	2016	1.43
14	5	2016	1.24
14	6	2016	1.12
14	7	2016	0.73
14	8	2016	0.83
14	9	2016	1.24
14	10	2016	1.55
14	11	2016	1.10
14	12	2016	0.67
15	1	2013	0.40
15	2	2013	0.40
15	3	2013	0.55
15	4	2013	1.15
15	5	2013	1.24
15	6	2013	1.32
15	7	2013	1.33
15	8	2013	1.37
15	9	2013	1.49
15	10	2013	1.09
15	11	2013	1.22
15	12	2013	0.68
15	1	2014	0.27
15	2	2014	0.38
15	3	2014	0.47
15	4	2014	1.36
15	5	2014	1.71
15	6	2014	1.84
15	7	2014	1.50
15	8	2014	1.44
15	9	2014	1.35
15	10	2014	1.00
15	11	2014	0.44
15	12	2014	0.32
16	1	2010	0.38
16	2	2010	0.04
16	3	2010	0.78
16	4	2010	1.39
16	5	2010	1.37
16	6	2010	1.53
16	7	2010	1.47
16	8	2010	1.35
16	9	2010	1.40
16	10	2010	1.15
16	11	2010	0.86
16	12	2010	0.34
16	1	2011	0.29
16	2	2011	0.46
16	3	2011	0.76
16	4	2011	1.14
16	5	2011	1.43
16	6	2011	1.56
16	7	2011	1.45
16	8	2011	1.37
16	9	2011	1.20
16	10	2011	1.00
16	11	2011	0.92
16	12	2011	0.62
16	1	2012	0.49
