analysis_area_id	date	volume
233	2015-12-06 00:00:00+00:00	66
233	2015-12-07 00:00:00+00:00	119
233	2015-12-08 00:00:00+00:00	97
233	2015-12-09 00:00:00+00:00	118
233	2015-12-10 00:00:00+00:00	100
233	2015-12-11 00:00:00+00:00	100
233	2015-12-12 00:00:00+00:00	35
233	2015-12-13 00:00:00+00:00	64
233	2015-12-14 00:00:00+00:00	122
233	2015-12-15 00:00:00+00:00	133
233	2015-12-16 00:00:00+00:00	121
233	2015-12-17 00:00:00+00:00	85
233	2015-12-18 00:00:00+00:00	93
233	2015-12-19 00:00:00+00:00	94
233	2015-12-20 00:00:00+00:00	50
233	2015-12-21 00:00:00+00:00	62
233	2015-12-22 00:00:00+00:00	93
233	2015-12-23 00:00:00+00:00	59
233	2015-12-24 00:00:00+00:00	71
233	2015-12-25 00:00:00+00:00	49
233	2015-12-26 00:00:00+00:00	73
233	2015-12-27 00:00:00+00:00	25
233	2015-12-28 00:00:00+00:00	96
233	2015-12-29 00:00:00+00:00	126
233	2015-12-30 00:00:00+00:00	101
233	2015-12-31 00:00:00+00:00	94
233	2016-01-01 00:00:00+00:00	63
233	2016-01-02 00:00:00+00:00	51
233	2016-01-03 00:00:00+00:00	34
233	2016-01-04 00:00:00+00:00	54
233	2016-01-05 00:00:00+00:00	118
233	2016-01-06 00:00:00+00:00	132
233	2016-01-07 00:00:00+00:00	156
233	2016-01-08 00:00:00+00:00	119
233	2016-01-09 00:00:00+00:00	128
233	2016-01-10 00:00:00+00:00	110
233	2016-01-11 00:00:00+00:00	95
233	2016-01-12 00:00:00+00:00	118
233	2016-01-13 00:00:00+00:00	130
233	2016-01-14 00:00:00+00:00	177
233	2016-01-15 00:00:00+00:00	115
233	2016-01-16 00:00:00+00:00	67
233	2016-01-17 00:00:00+00:00	84
233	2016-01-18 00:00:00+00:00	134
233	2016-01-19 00:00:00+00:00	153
233	2016-01-20 00:00:00+00:00	172
233	2016-01-21 00:00:00+00:00	102
233	2016-01-22 00:00:00+00:00	160
233	2016-01-23 00:00:00+00:00	61
233	2016-01-24 00:00:00+00:00	178
233	2016-01-25 00:00:00+00:00	175
233	2016-01-26 00:00:00+00:00	168
233	2016-01-27 00:00:00+00:00	139
233	2016-01-28 00:00:00+00:00	165
233	2016-01-29 00:00:00+00:00	86
233	2016-01-30 00:00:00+00:00	137
233	2016-01-31 00:00:00+00:00	125
233	2016-02-01 00:00:00+00:00	170
233	2016-02-02 00:00:00+00:00	198
233	2016-02-03 00:00:00+00:00	113
233	2016-02-04 00:00:00+00:00	143
233	2016-02-05 00:00:00+00:00	112
233	2016-02-06 00:00:00+00:00	129
233	2016-02-07 00:00:00+00:00	210
233	2016-02-08 00:00:00+00:00	213
233	2016-02-09 00:00:00+00:00	269
233	2016-02-10 00:00:00+00:00	142
233	2016-02-11 00:00:00+00:00	116
233	2016-02-12 00:00:00+00:00	113
233	2016-02-13 00:00:00+00:00	56
233	2016-02-14 00:00:00+00:00	90
233	2016-02-15 00:00:00+00:00	92
233	2016-02-16 00:00:00+00:00	197
233	2016-02-17 00:00:00+00:00	137
233	2016-02-18 00:00:00+00:00	162
233	2016-02-19 00:00:00+00:00	91
233	2016-02-20 00:00:00+00:00	228
233	2016-02-21 00:00:00+00:00	72
233	2016-02-22 00:00:00+00:00	167
233	2016-02-23 00:00:00+00:00	269
233	2016-02-24 00:00:00+00:00	197
233	2016-02-25 00:00:00+00:00	289
233	2016-02-26 00:00:00+00:00	133
233	2016-02-27 00:00:00+00:00	142
233	2016-02-28 00:00:00+00:00	65
233	2016-02-29 00:00:00+00:00	185
233	2016-03-01 00:00:00+00:00	120
233	2016-03-02 00:00:00+00:00	133
233	2016-03-03 00:00:00+00:00	201
233	2016-03-04 00:00:00+00:00	104
233	2016-03-05 00:00:00+00:00	223
233	2016-03-06 00:00:00+00:00	80
233	2016-03-07 00:00:00+00:00	116
233	2016-03-08 00:00:00+00:00	168
233	2016-03-09 00:00:00+00:00	94
233	2016-03-10 00:00:00+00:00	131
233	2016-03-11 00:00:00+00:00	143
233	2016-03-12 00:00:00+00:00	85
233	2016-03-13 00:00:00+00:00	68
233	2016-03-14 00:00:00+00:00	110
233	2016-03-15 00:00:00+00:00	154
233	2016-03-16 00:00:00+00:00	233
233	2016-03-17 00:00:00+00:00	301
233	2016-03-18 00:00:00+00:00	230
233	2016-03-19 00:00:00+00:00	237
233	2016-03-20 00:00:00+00:00	59
